source,source_dataset,source_indicator_code,source_indicator_name,current_indicator_code,candidate_indicator_code,candidate_indicator_name_zh,candidate_indicator_name_en,match_score,confidence_level,match_reason,review_status,source_unit,candidate_unit,source_frequency,candidate_frequency,country_count,observation_count,start_date,end_date
FRED,Federal Reserve Economic Data,CPILFESL,U.S. Core CPI Index,US_CORE_CPI_INDEX_M,US_CORE_CPI_INDEX_M,美国核心CPI指数,U.S. Core CPI Index,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,index 1982-1984=100,index 1982-1984=100,M,M,1,137,2015-01,2026-05
FRED,Federal Reserve Economic Data,FEDFUNDS,U.S. Effective Federal Funds Rate,US_FED_FUNDS_RATE_M,US_FED_FUNDS_RATE_M,美国联邦基金有效利率,U.S. Effective Federal Funds Rate,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,M,M,1,137,2015-01,2026-05
FRED,Federal Reserve Economic Data,GS10,U.S. 10-Year Treasury Rate,US_10Y_TREASURY_RATE_M,US_10Y_TREASURY_RATE_M,美国10年期国债收益率,U.S. 10-Year Treasury Rate,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,M,M,1,137,2015-01,2026-05
FRED,Federal Reserve Economic Data,GS2,U.S. 2-Year Treasury Rate,US_2Y_TREASURY_RATE_M,US_2Y_TREASURY_RATE_M,美国2年期国债收益率,U.S. 2-Year Treasury Rate,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,M,M,1,137,2015-01,2026-05
FRED,Federal Reserve Economic Data,HOUST,U.S. Housing Starts,US_HOUSING_STARTS_M,US_HOUSING_STARTS_M,美国新屋开工,U.S. Housing Starts,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,thousands of units,thousands of units,M,M,1,137,2015-01,2026-05
FRED,Federal Reserve Economic Data,INDPRO,U.S. Industrial Production Index,US_INDUSTRIAL_PRODUCTION_M,US_INDUSTRIAL_PRODUCTION_M,美国工业生产指数,U.S. Industrial Production Index,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,index 2017=100,index 2017=100,M,M,1,136,2015-01,2026-04
FRED,Federal Reserve Economic Data,M2SL,U.S. M2 Money Stock,US_M2_MONEY_STOCK_M,US_M2_MONEY_STOCK_M,美国M2货币存量,U.S. M2 Money Stock,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,billions of dollars,billions of dollars,M,M,1,136,2015-01,2026-04
FRED,Federal Reserve Economic Data,PAYEMS,U.S. Nonfarm Payrolls,US_NONFARM_PAYROLLS_M,US_NONFARM_PAYROLLS_M,美国非农就业人数,U.S. Nonfarm Payrolls,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,thousands of persons,thousands of persons,M,M,1,137,2015-01,2026-05
FRED,Federal Reserve Economic Data,PPIACO,U.S. Producer Price Index,US_PPI_INDEX_M,US_PPI_INDEX_M,美国生产者价格指数,U.S. Producer Price Index,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,index 1982=100,index 1982=100,M,M,1,137,2015-01,2026-05
FRED,Federal Reserve Economic Data,RSAFS,U.S. Retail Sales,US_RETAIL_SALES_M,US_RETAIL_SALES_M,美国零售销售额,U.S. Retail Sales,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,millions of dollars,millions of dollars,M,M,1,137,2015-01,2026-05
FRED,Federal Reserve Economic Data,UNRATE,U.S. Unemployment Rate,US_UNEMPLOYMENT_RATE_M,US_UNEMPLOYMENT_RATE_M,美国失业率,U.S. Unemployment Rate,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,M,M,1,136,2015-01,2026-04
IMF,World Economic Outlook,BCA_NGDPD,"Current account balance (credit less debit), Percent of GDP",CURRENT_ACCOUNT_GDP_A,CURRENT_ACCOUNT_GDP_A,经常账户余额占GDP比重,Current account balance,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,884,1980,2031
IMF,World Economic Outlook,GGR_NGDP,"Revenue, General government, Percent of GDP",GOV_REVENUE_GDP_A,GOV_REVENUE_GDP_A,政府收入占GDP比重,General government revenue as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,884,1980,2031
IMF,World Economic Outlook,GGXCNL_NGDP,"Net lending (+) / net borrowing (-), General government, Percent of GDP",GOV_NET_LENDING_GDP_A,GOV_NET_LENDING_GDP_A,政府净借贷占GDP比重,General government net lending or borrowing as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,884,1980,2031
IMF,World Economic Outlook,GGXWDG_NGDP,"Gross debt, General government, Percent of GDP",GOV_DEBT_GDP_A,GOV_DEBT_GDP_A,政府债务占GDP比重,"Central government debt, total",0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,884,1980,2031
IMF,World Economic Outlook,GGX_NGDP,"Expenditure, General government, Percent of GDP",GOV_EXPENSE_GDP_A,GOV_EXPENSE_GDP_A,政府支出占GDP比重,General government expense as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,884,1980,2031
IMF,World Economic Outlook,LP,"Population, Persons for countries / Index for country groups",POPULATION_TOTAL_A,POPULATION_TOTAL_A,总人口,"Population, total",0.92,高可信,已固化映射；单位一致、频率一致,已确认,persons,persons,A,A,17,884,1980,2031
IMF,World Economic Outlook,LUR,Unemployment rate,UNEMPLOYMENT_RATE_A,UNEMPLOYMENT_RATE_A,失业率,Unemployment Rate,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of labor force,% of labor force,A,A,17,884,1980,2031
IMF,World Economic Outlook,NGDP,"Gross domestic product (GDP), Current prices, Domestic currency",GDP_CURRENT_LCU_A,GDP_CURRENT_LCU_A,本币计价名义GDP,Nominal GDP in local currency,0.92,高可信,已固化映射；单位一致、频率一致,已确认,current LCU,current LCU,A,A,17,884,1980,2031
IMF,World Economic Outlook,NGDPD,"Gross domestic product (GDP), Current prices, US dollar",GDP_NOMINAL_USD_A,GDP_NOMINAL_USD_A,名义GDP,Nominal GDP,0.92,高可信,已固化映射；单位一致、频率一致,已确认,current USD,current USD,A,A,17,884,1980,2031
IMF,World Economic Outlook,NGDPDPC,"Gross domestic product (GDP), Current prices, Per capita, US dollar",GDP_PER_CAPITA_USD_A,GDP_PER_CAPITA_USD_A,人均GDP,GDP per capita,0.92,高可信,已固化映射；单位一致、频率一致,已确认,current USD,current USD,A,A,17,884,1980,2031
IMF,World Economic Outlook,NGDP_D,"Gross domestic product (GDP), Price deflator, Index",GDP_DEFLATOR_INDEX_A,GDP_DEFLATOR_INDEX_A,GDP平减指数,GDP deflator index,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,index,index,A,A,17,884,1980,2031
IMF,World Economic Outlook,NGDP_R,"Gross domestic product (GDP), Constant prices, Domestic currency",GDP_REAL_LCU_A,GDP_REAL_LCU_A,本币计价实际GDP,Real GDP in local currency,0.92,高可信,已固化映射；单位一致、频率一致,已确认,constant LCU,constant LCU,A,A,17,884,1980,2031
IMF,World Economic Outlook,NGDP_RPCH,"Gross domestic product (GDP), Constant prices, Percent change",GDP_REAL_GROWTH_YOY_A,GDP_REAL_GROWTH_YOY_A,实际GDP增速,Real GDP Growth,0.92,高可信,已固化映射；单位一致、频率一致,已确认,%,%,A,A,17,884,1980,2031
IMF,World Economic Outlook,NGSD_NGDP,"Gross national savings, Percent of GDP",GROSS_SAVINGS_GDP_A,GROSS_SAVINGS_GDP_A,国民总储蓄占GDP比重,Gross national savings as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,884,1980,2031
IMF,World Economic Outlook,NID_NGDP,"Gross capital formation, Percent of GDP",GROSS_CAPITAL_FORMATION_GDP_A,GROSS_CAPITAL_FORMATION_GDP_A,资本形成总额占GDP比重,Gross capital formation as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,884,1980,2031
IMF,World Economic Outlook,PCPIPCH,"All Items, Consumer price index (CPI), Period average, percent change",CPI_YOY_A,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,A,A,17,884,1980,2031
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致、代码关键词相近,已确认,%,%,M,M,1,11,2024-02,2024-12
OECD,Prices: Consumer prices,DF_PRICES_ALL.CPI.GY,Consumer Price Index YoY,CPI_YOY_M,CPI_YOY_M,居民消费价格指数同比,Consumer Price Index YoY,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,M,M,17,2153,2015-01,2026-04
World Bank,World Development Indicators,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),CURRENT_ACCOUNT_GDP_A,CURRENT_ACCOUNT_GDP_A,经常账户余额占GDP比重,Current account balance,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",FDI_NET_INFLOWS_GDP_A,FDI_NET_INFLOWS_GDP_A,外商直接投资净流入占GDP比重,FDI net inflows as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),ELECTRIC_POWER_CONSUMPTION_A,ELECTRIC_POWER_CONSUMPTION_A,人均电力消费,Electric power consumption per capita,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,kWh per capita,kWh per capita,A,A,17,187,2015,2025
World Bank,World Development Indicators,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),ENERGY_USE_PER_CAPITA_A,ENERGY_USE_PER_CAPITA_A,人均能源使用量,Energy use per capita,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,kg of oil equivalent per capita,kg of oil equivalent per capita,A,A,17,187,2015,2025
World Bank,World Development Indicators,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",RESERVES_USD_A,RESERVES_USD_A,外汇储备,Total reserves,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,current USD,current USD,A,A,17,187,2015,2025
World Bank,World Development Indicators,FM.LBL.BMNY.GD.ZS,Broad money (% of GDP),BROAD_MONEY_GDP_A,BROAD_MONEY_GDP_A,广义货币占GDP比重,Broad money as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",CPI_YOY_A,CPI_YOY_A,居民消费价格指数同比,Consumer Price Index YoY,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,A,A,17,187,2015,2025
World Bank,World Development Indicators,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),DOMESTIC_CREDIT_PRIVATE_GDP_A,DOMESTIC_CREDIT_PRIVATE_GDP_A,对私营部门国内信贷占GDP比重,Domestic credit to private sector as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",GOV_DEBT_GDP_A,GOV_DEBT_GDP_A,政府债务占GDP比重,"Central government debt, total",0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,GC.NLD.TOTL.GD.ZS,Net lending (+) / net borrowing (-) (% of GDP),GOV_NET_LENDING_GDP_A,GOV_NET_LENDING_GDP_A,政府净借贷占GDP比重,General government net lending or borrowing as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)",GOV_REVENUE_GDP_A,GOV_REVENUE_GDP_A,政府收入占GDP比重,General government revenue as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP),TAX_REVENUE_GDP_A,TAX_REVENUE_GDP_A,税收收入占GDP比重,Tax revenue as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,GC.XPN.TOTL.GD.ZS,Expense (% of GDP),GOV_EXPENSE_GDP_A,GOV_EXPENSE_GDP_A,政府支出占GDP比重,General government expense as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,IT.NET.USER.ZS,Individuals using the Internet (% of population),INTERNET_USERS_RATE_A,INTERNET_USERS_RATE_A,互联网使用率,Individuals using the Internet,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of population,% of population,A,A,17,187,2015,2025
World Bank,World Development Indicators,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),MILITARY_EXPENDITURE_GDP_A,MILITARY_EXPENDITURE_GDP_A,军费支出占GDP比重,Military expenditure as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,NE.EXP.GNFS.CD,Exports of goods and services (current US$),EXPORTS_USD_A,EXPORTS_USD_A,货物和服务出口,Exports of goods and services,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,current USD,current USD,A,A,17,187,2015,2025
World Bank,World Development Indicators,NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth),EXPORTS_GROWTH_A,EXPORTS_GROWTH_A,出口实际增速,Exports real growth,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,A,A,17,187,2015,2025
World Bank,World Development Indicators,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),GROSS_CAPITAL_FORMATION_GDP_A,GROSS_CAPITAL_FORMATION_GDP_A,资本形成总额占GDP比重,Gross capital formation as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,NE.IMP.GNFS.CD,Imports of goods and services (current US$),IMPORTS_USD_A,IMPORTS_USD_A,货物和服务进口,Imports of goods and services,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,current USD,current USD,A,A,17,187,2015,2025
World Bank,World Development Indicators,NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth),IMPORTS_GROWTH_A,IMPORTS_GROWTH_A,进口实际增速,Imports real growth,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,A,A,17,187,2015,2025
World Bank,World Development Indicators,NE.TRD.GNFS.ZS,Trade (% of GDP),TRADE_GDP_A,TRADE_GDP_A,贸易开放度,Trade as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",GDP_DEFLATOR_GROWTH_A,GDP_DEFLATOR_GROWTH_A,GDP平减指数增速,"Inflation, GDP deflator",0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GDP.DEFL.ZS,GDP deflator (base year varies by country),GDP_DEFLATOR_INDEX_A,GDP_DEFLATOR_INDEX_A,GDP平减指数,GDP deflator index,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,index,index,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GDP.MKTP.CD,GDP (current US$),GDP_NOMINAL_USD_A,GDP_NOMINAL_USD_A,名义GDP,Nominal GDP,0.92,高可信,已固化映射；单位一致、频率一致,已确认,current USD,current USD,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GDP.MKTP.CN,GDP (current LCU),GDP_CURRENT_LCU_A,GDP_CURRENT_LCU_A,本币计价名义GDP,Nominal GDP in local currency,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,current LCU,current LCU,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),GDP_REAL_GROWTH_YOY_A,GDP_REAL_GROWTH_YOY_A,实际GDP增速,Real GDP Growth,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GDP.MKTP.KN,GDP (constant LCU),GDP_REAL_LCU_A,GDP_REAL_LCU_A,本币计价实际GDP,Real GDP in local currency,0.92,高可信,已固化映射；单位一致、频率一致,已确认,constant LCU,constant LCU,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GDP.PCAP.CD,GDP per capita (current US$),GDP_PER_CAPITA_USD_A,GDP_PER_CAPITA_USD_A,人均GDP,GDP per capita,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,current USD,current USD,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GNP.MKTP.CD,GNI (current US$),GNI_CURRENT_USD_A,GNI_CURRENT_USD_A,国民总收入,"GNI, current US dollars",0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,current USD,current USD,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",GNI_PER_CAPITA_USD_A,GNI_PER_CAPITA_USD_A,人均国民总收入,GNI per capita,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,current USD,current USD,A,A,17,187,2015,2025
World Bank,World Development Indicators,NY.GNS.ICTR.ZS,Gross savings (% of GDP),GROSS_SAVINGS_GDP_A,GROSS_SAVINGS_GDP_A,国民总储蓄占GDP比重,Gross national savings as percent of GDP,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of GDP,% of GDP,A,A,17,187,2015,2025
World Bank,World Development Indicators,SE.TER.ENRR,"School enrollment, tertiary (% gross)",SCHOOL_ENROLLMENT_TERTIARY_A,SCHOOL_ENROLLMENT_TERTIARY_A,高等教育毛入学率,"School enrollment, tertiary",0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% gross,% gross,A,A,17,187,2015,2025
World Bank,World Development Indicators,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",UNEMPLOYMENT_RATE_A,UNEMPLOYMENT_RATE_A,失业率,Unemployment Rate,0.92,高可信,已固化映射；单位一致、频率一致,已确认,% of labor force,% of labor force,A,A,17,187,2015,2025
World Bank,World Development Indicators,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",LIFE_EXPECTANCY_A,LIFE_EXPECTANCY_A,预期寿命,Life expectancy at birth,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,years,years,A,A,17,187,2015,2025
World Bank,World Development Indicators,SP.POP.GROW,Population growth (annual %),POPULATION_GROWTH_A,POPULATION_GROWTH_A,人口增长率,Population growth,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,%,%,A,A,17,187,2015,2025
World Bank,World Development Indicators,SP.POP.TOTL,"Population, total",POPULATION_TOTAL_A,POPULATION_TOTAL_A,总人口,"Population, total",0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,persons,persons,A,A,17,187,2015,2025
World Bank,World Development Indicators,SP.URB.TOTL.IN.ZS,Urban population (% of total population),URBAN_POPULATION_RATE_A,URBAN_POPULATION_RATE_A,城镇人口比重,Urban population share,0.92,高可信,已固化映射；名称/关键词相似、单位一致、频率一致,已确认,% of total population,% of total population,A,A,17,187,2015,2025
